gene_id	colors
GRMZM2G032095	black
GRMZM2G032107	pink
GRMZM2G032132	brown
GRMZM2G032160	red
GRMZM2G032171	midnightblue
GRMZM2G032214	red
GRMZM2G032219	blue
GRMZM2G032253	turquoise
GRMZM2G032293	yellow
GRMZM2G032315	brown
GRMZM2G032336	yellow
GRMZM2G032419	black
GRMZM2G032478	greenyellow
GRMZM2G032547	turquoise
GRMZM2G032594	turquoise
GRMZM2G032628	turquoise
GRMZM2G032654	red
GRMZM2G032684	yellow
GRMZM2G032766	greenyellow
GRMZM2G032807	turquoise
GRMZM2G032910	turquoise
GRMZM2G032944	blue
GRMZM2G033017	turquoise
GRMZM2G033098	turquoise
GRMZM2G033198	turquoise
GRMZM2G033222	black
GRMZM2G033280	blue
GRMZM2G033308	cyan
GRMZM2G033350	yellow
GRMZM2G033430	green
GRMZM2G033480	turquoise
GRMZM2G033509	brown
GRMZM2G033544	pink
GRMZM2G033555	turquoise
GRMZM2G033566	pink
GRMZM2G033570	turquoise
GRMZM2G033612	turquoise
GRMZM2G033634	blue
GRMZM2G033641	turquoise
GRMZM2G033653	blue
GRMZM2G033669	yellow
GRMZM2G033846	red
GRMZM2G033867	blue
GRMZM2G033885	turquoise
GRMZM2G033937	blue
GRMZM2G034083	turquoise
GRMZM2G034152	turquoise
GRMZM2G034155	turquoise
GRMZM2G034197	brown
GRMZM2G034360	greenyellow
GRMZM2G034508	turquoise
GRMZM2G034573	turquoise
GRMZM2G034608	green
GRMZM2G034724	turquoise
GRMZM2G034764	turquoise
GRMZM2G034810	greenyellow
GRMZM2G034840	turquoise
GRMZM2G034876	turquoise
GRMZM2G034882	turquoise
GRMZM2G034985	black
GRMZM2G035023	magenta
GRMZM2G035063	purple
GRMZM2G035092	brown
GRMZM2G035150	turquoise
GRMZM2G035202	turquoise
GRMZM2G035217	yellow
GRMZM2G035222	brown
GRMZM2G035278	red
GRMZM2G035305	black
GRMZM2G035390	blue
GRMZM2G035401	green
GRMZM2G035405	green
GRMZM2G035445	yellow
GRMZM2G035503	grey
GRMZM2G035552	grey
GRMZM2G035557	turquoise
GRMZM2G035574	blue
GRMZM2G035584	turquoise
GRMZM2G035594	blue
GRMZM2G035595	turquoise
GRMZM2G035620	yellow
GRMZM2G035688	green
GRMZM2G035749	red
GRMZM2G035755	green
GRMZM2G035807	yellow
GRMZM2G035809	turquoise
GRMZM2G035933	greenyellow
GRMZM2G035999	blue
GRMZM2G036007	turquoise
GRMZM2G036070	brown
GRMZM2G036086	turquoise
GRMZM2G036092	magenta
GRMZM2G036099	grey
GRMZM2G036113	green
GRMZM2G036120	magenta
GRMZM2G036134	turquoise
GRMZM2G036206	blue
GRMZM2G036217	magenta
GRMZM2G036262	turquoise
GRMZM2G036282	green
GRMZM2G036297	green
GRMZM2G036340	brown
GRMZM2G036351	turquoise
GRMZM2G036368	midnightblue
GRMZM2G036409	blue
GRMZM2G036427	turquoise
GRMZM2G036448	magenta
GRMZM2G036464	black
GRMZM2G036502	grey
GRMZM2G036505	blue
GRMZM2G036605	purple
GRMZM2G036708	turquoise
GRMZM2G036966	turquoise
GRMZM2G036976	blue
GRMZM2G037012	brown
GRMZM2G037015	blue
GRMZM2G037048	lightcyan
GRMZM2G037146	turquoise
GRMZM2G037152	tan
GRMZM2G037189	greenyellow
GRMZM2G037209	red
GRMZM2G037265	turquoise
GRMZM2G037379	green
GRMZM2G037386	turquoise
GRMZM2G037422	blue
GRMZM2G037469	turquoise
GRMZM2G037472	green
GRMZM2G037482	pink
GRMZM2G037627	blue
GRMZM2G037644	salmon
GRMZM2G037926	green
GRMZM2G037941	green
GRMZM2G038019	greenyellow
GRMZM2G038162	turquoise
GRMZM2G038243	black
GRMZM2G038281	brown
GRMZM2G038284	blue
GRMZM2G038301	turquoise
GRMZM2G038309	red
GRMZM2G038487	turquoise
GRMZM2G038490	brown
GRMZM2G038497	magenta
GRMZM2G038519	blue
GRMZM2G038536	magenta
GRMZM2G038623	green
GRMZM2G038636	blue
GRMZM2G038640	turquoise
GRMZM2G038801	turquoise
GRMZM2G038818	cyan
GRMZM2G038833	red
GRMZM2G038898	magenta
GRMZM2G039074	greenyellow
GRMZM2G039089	blue
GRMZM2G039094	pink
GRMZM2G039106	yellow
GRMZM2G039187	black
GRMZM2G039322	turquoise
GRMZM2G039345	yellow
GRMZM2G039365	brown
GRMZM2G039399	green
GRMZM2G039577	magenta
GRMZM2G039583	turquoise
GRMZM2G039792	blue
GRMZM2G039811	turquoise
GRMZM2G039867	pink
GRMZM2G039895	midnightblue
GRMZM2G039919	purple
GRMZM2G039922	brown
GRMZM2G039930	blue
GRMZM2G039934	turquoise
GRMZM2G039988	turquoise
GRMZM2G039996	turquoise
GRMZM2G040069	brown
GRMZM2G040094	turquoise
GRMZM2G040095	turquoise
GRMZM2G040121	turquoise
GRMZM2G040326	turquoise
GRMZM2G040359	blue
GRMZM2G040453	purple
GRMZM2G040511	turquoise
GRMZM2G040517	grey
GRMZM2G040549	salmon
GRMZM2G040592	blue
GRMZM2G040672	turquoise
GRMZM2G040673	red
GRMZM2G040689	turquoise
GRMZM2G040692	grey
GRMZM2G040736	green
GRMZM2G040762	yellow
GRMZM2G040828	blue
GRMZM2G040890	turquoise
GRMZM2G040911	green
GRMZM2G040933	blue
GRMZM2G040947	blue
GRMZM2G040970	turquoise
GRMZM2G041127	red
GRMZM2G041141	greenyellow
GRMZM2G041223	turquoise
GRMZM2G041238	brown
GRMZM2G041356	greenyellow
GRMZM2G041381	brown
GRMZM2G041394	salmon
GRMZM2G041418	pink
GRMZM2G041506	green
GRMZM2G041544	blue
GRMZM2G041636	black
GRMZM2G041645	turquoise
GRMZM2G041657	brown
GRMZM2G041694	red
GRMZM2G041761	tan
GRMZM2G041797	purple
GRMZM2G041809	blue
GRMZM2G041818	yellow
GRMZM2G041955	grey
GRMZM2G041980	black
GRMZM2G041991	turquoise
GRMZM2G042036	blue
GRMZM2G042055	turquoise
GRMZM2G042080	blue
GRMZM2G042118	yellow
GRMZM2G042171	turquoise
GRMZM2G042173	yellow
GRMZM2G042179	red
GRMZM2G042181	turquoise
GRMZM2G042250	pink
GRMZM2G042313	blue
GRMZM2G042442	yellow
GRMZM2G042488	turquoise
GRMZM2G042510	black
GRMZM2G042598	cyan
GRMZM2G042607	blue
GRMZM2G042664	pink
GRMZM2G042666	turquoise
GRMZM2G042756	blue
GRMZM2G042806	lightcyan
